site_id,site_name,country,rainfall_mm,agb20_mg_ha,relative_recovery_pct_20y,age_range_years,reference_number,source_locator
salvatierra,Salvatierra,Bolivia,1200,38.3,29.5,1-36,46,Poorter et al. 2016 Extended Data Table 1
san_lorenzo,San Lorenzo,Bolivia,1129,82.8,64.5,3-50,47,Poorter et al. 2016 Extended Data Table 1
cajueiro,Cajueiro,Brazil,840,52.2,,15-59,,Poorter et al. 2016 Extended Data Table 1
mata_seca,Mata Seca,Brazil,825,58.8,,14-58,52,Poorter et al. 2016 Extended Data Table 1
patos,Patos,Brazil,750,20.3,,22-64,53,Poorter et al. 2016 Extended Data Table 1
sao_paulo,Sao Paulo,Brazil,1367,123.2,35.7,11-45,,Poorter et al. 2016 Extended Data Table 1
palo_verde,Palo Verde,Costa Rica,1444,142.9,,7-60,58,Poorter et al. 2016 Extended Data Table 1
santa_rosa,Santa Rosa,Costa Rica,1765,170.9,84.9,6-70,58,Poorter et al. 2016 Extended Data Table 1
sarapiqui_chazdon,Sarapiquí (Chazdon),Costa Rica,4000,171.5,59.6,10-41,59,Poorter et al. 2016 Extended Data Table 1
sarapiqui_letcher,Sarapiquí (Letcher),Costa Rica,4000,145.4,76.6,10-42,60,Poorter et al. 2016 Extended Data Table 1
chajul,Chajul,Mexico,3000,105.3,59.4,0-27,61,Poorter et al. 2016 Extended Data Table 1
chamela,Chamela,Mexico,788,34.8,49.9,3-15,62,Poorter et al. 2016 Extended Data Table 1
el_ocote_1,El Ocote 1,Mexico,1500,101.4,33.6,2-75,63,Poorter et al. 2016 Extended Data Table 1
el_ocote_2,El Ocote 2,Mexico,2000,116.4,62.3,3-75,63,Poorter et al. 2016 Extended Data Table 1
nizanda,Nizanda,Mexico,878,34.7,25.4,2-60,64,Poorter et al. 2016 Extended Data Table 1
quintana_roo,Quintana Roo,Mexico,1250,90.0,66.4,2-100,,Poorter et al. 2016 Extended Data Table 1
yucatan,Yucatán,Mexico,1100,69.3,66.7,3-70,65,Poorter et al. 2016 Extended Data Table 1
barro_colorado_island,Barro Colorado Island,Panama,2600,120.5,59.3,20-100,67,Poorter et al. 2016 Extended Data Table 1
