cod_dep,depto,codigo,municipio,perdida_bruta_ha,recuperacion_bruta_ha,perdida_neta_ha,tipo_unidad,grupo_territorial_id,proporcion_grupo_id,grupo_territorial_nombre,sitios_referencia,intervalo_proporcion_regeneracion_equivalente,proporcion_regeneracion_equivalente_min,proporcion_regeneracion_equivalente_central,proporcion_regeneracion_equivalente_max,tratamiento_intervalo,fundamento_vinculacion_sitios,saldo_ponderado_inferior_ha,saldo_ponderado_superior_ha,saldo_ponderado_central_ha,clasificacion_perdida_neta_reportada,clasificacion_ponderada,brecha_ponderacion_inferior_ha,brecha_ponderacion_superior_ha,proporcion_regeneracion_equivalente_critica,cambio_clasificacion
5,Escuintla,506,Tiquisate,209.3021312000,226.8086237800,-17.5064925800,Municipio,REG-TB-HUM,REG-TB-HUM,Tierras bajas húmedas del Caribe y del Pacífico,"Barro Colorado, Panamá, y Sarapiquí, Costa Rica",59.3-76.6%,0.5930000000,0.6795000000,0.7660000000,Intervalo directo de valores publicados por sitio,Bosques tropicales húmedos de baja altitud y alta disponibilidad de agua.,35.5667253845,74.8046172985,55.1856713415,Ganancia,Pérdida,53.0732179645,92.3111098785,0.9228138142,Ganancia → Pérdida
5,Escuintla,507,La Gomera,55.1958635200,79.9825030200,-24.7866395000,Municipio,REG-TB-HUM,REG-TB-HUM,Tierras bajas húmedas del Caribe y del Pacífico,"Barro Colorado, Panamá, y Sarapiquí, Costa Rica",59.3-76.6%,0.5930000000,0.6795000000,0.7660000000,Intervalo directo de valores publicados por sitio,Bosques tropicales húmedos de baja altitud y alta disponibilidad de agua.,-6.0707337933,7.7662392291,0.8477527179,Ganancia,Indeterminado,18.7159057067,32.5528787291,0.6900992272,Ganancia → Indeterminado
5,Escuintla,508,Guanagazapa,117.4261655800,122.9175068500,-5.4913412700,Municipio,REG-TB-HUM,REG-TB-HUM,Tierras bajas húmedas del Caribe y del Pacífico,"Barro Colorado, Panamá, y Sarapiquí, Costa Rica",59.3-76.6%,0.5930000000,0.6795000000,0.7660000000,Intervalo directo de valores publicados por sitio,Bosques tropicales húmedos de baja altitud y alta disponibilidad de agua.,23.2713553329,44.5360840180,33.9037196754,Ganancia,Pérdida,28.7626966029,50.0274252879,0.9553249866,Ganancia → Pérdida
5,Escuintla,509,San José,256.1328370800,421.1146116300,-164.9817745500,Municipio,REG-TB-HUM,REG-TB-HUM,Tierras bajas húmedas del Caribe y del Pacífico,"Barro Colorado, Panamá, y Sarapiquí, Costa Rica",59.3-76.6%,0.5930000000,0.6795000000,0.7660000000,Intervalo directo de valores publicados por sitio,Bosques tropicales húmedos de baja altitud y alta disponibilidad de agua.,-66.4409554286,6.4118723834,-30.0145415226,Ganancia,Indeterminado,98.5408191214,171.3936469334,0.6082259556,Ganancia → Indeterminado
6,Santa Rosa,608,Chiquimulilla,612.4753194900,764.3082825200,-151.8329630300,Municipio,REG-TB-HUM,REG-TB-HUM,Tierras bajas húmedas del Caribe y del Pacífico,"Barro Colorado, Panamá, y Sarapiquí, Costa Rica",59.3-76.6%,0.5930000000,0.6795000000,0.7660000000,Intervalo directo de valores publicados por sitio,Bosques tropicales húmedos de baja altitud y alta disponibilidad de agua.,27.0151750797,159.2405079556,93.1278415177,Ganancia,Pérdida,178.8481381097,311.0734709856,0.8013459143,Ganancia → Pérdida
11,Retalhuleu,1106,San Andrés Villa Seca,793.8298810500,1072.2269761000,-278.3970950500,Municipio,REG-TB-HUM,REG-TB-HUM,Tierras bajas húmedas del Caribe y del Pacífico,"Barro Colorado, Panamá, y Sarapiquí, Costa Rica",59.3-76.6%,0.5930000000,0.6795000000,0.7660000000,Intervalo directo de valores publicados por sitio,Bosques tropicales húmedos de baja altitud y alta disponibilidad de agua.,-27.4959826426,157.9992842227,65.2516507901,Ganancia,Indeterminado,250.9011124074,436.3963792727,0.7403561921,Ganancia → Indeterminado
12,San Marcos,1230,La Blanca,105.5209006700,133.5401244200,-28.0192237500,Municipio,REG-TB-HUM,REG-TB-HUM,Tierras bajas húmedas del Caribe y del Pacífico,"Barro Colorado, Panamá, y Sarapiquí, Costa Rica",59.3-76.6%,0.5930000000,0.6795000000,0.7660000000,Intervalo directo de valores publicados por sitio,Bosques tropicales húmedos de baja altitud y alta disponibilidad de agua.,3.2291653643,26.3316068889,14.7803861266,Ganancia,Pérdida,31.2483891143,54.3508306389,0.7901812368,Ganancia → Pérdida
13,Huehuetenango,1325,San Sebastián Coatán,41.1100720100,44.2521504200,-3.1420784100,Municipio,REG-PET-FTN,REG-PET-FTN,Sur de Petén y vertiente norte,"Chajul, México",59.4%,0.5940000000,0.5940000000,0.5940000000,Intervalo directo de valores publicados por sitio,Bosques húmedos de tierras bajas del ámbito de la Selva Maya.,14.8242946605,14.8242946605,14.8242946605,Ganancia,Pérdida,17.9663730705,17.9663730705,0.9289960289,Ganancia → Pérdida
14,Quiché,1413,Nebaj,974.1508499600,1293.4022833700,-319.2514334100,Municipio,REG-PET-FTN,REG-PET-FTN,Sur de Petén y vertiente norte,"Chajul, México",59.4%,0.5940000000,0.5940000000,0.5940000000,Intervalo directo de valores publicados por sitio,Bosques húmedos de tierras bajas del ámbito de la Selva Maya.,205.8698936382,205.8698936382,205.8698936382,Ganancia,Pérdida,525.1213270482,525.1213270482,0.7531692672,Ganancia → Pérdida
14,Quiché,1418,Canillá,105.9588890900,341.4591077800,-235.5002186900,Municipio,REG-SEC-MOT,REG-SEC-MOT,"Valles secos interiores, Motagua y Salamá–Chixoy","Sitios secos de Bolivia, Brasil y México",25-65%,0.2500000000,0.4500000000,0.6500000000,Intervalo de sitios secos con redondeo exterior a incrementos de 0.05,Mayor déficit hídrico y recuperación generalmente más lenta.,-115.9895309670,20.5941121450,-47.6977094110,Ganancia,Indeterminado,119.5106877230,256.0943308350,0.3103120891,Ganancia → Indeterminado
