variable,definicion,tipo,unidad,capa,archivos,construccion_notas
acumulado_inferior_ha,Límite inferior de pérdida acumulada hasta el año indicado,numérico,ha,procesada,02_resultados_y_diccionario/trayectorias_forestales_fisicas_guatemala_2026_2035.csv,Resultado inferior anual multiplicado por el número de años transcurridos
acumulado_superior_ha,Límite superior de pérdida acumulada hasta el año indicado,numérico,ha,procesada,02_resultados_y_diccionario/trayectorias_forestales_fisicas_guatemala_2026_2035.csv,Resultado superior anual multiplicado por el número de años transcurridos
ambito,Nombre del agregado territorial o analítico,texto,no aplica,procesada,02_resultados_y_diccionario/completacion_conservadora_resumen_guatemala_2016_2020.csv; 02_resultados_y_diccionario/resultados_institucionales_guatemala_2016_2020.csv; 02_resultados_y_diccionario/resultados_recuperacion_ponderada_dominio_guatemala_2016_2020.csv; 02_resultados_y_diccionario/resumen_manglar_guatemala_2016_2020.csv,Identifica Guatemala dominio de aplicación o aproximación local
anio,Año calendario de una trayectoria prospectiva,entero,año,procesada,02_resultados_y_diccionario/trayectorias_forestales_fisicas_guatemala_2026_2035.csv,Secuencia 2026-2035
anio_base,Año de precios o referencia del parámetro,entero,año,entrada,01_metodologia/parametros/parametros_valoracion_servicios_ecosistemicos_guatemala_2019_2026.csv,Se conserva según la fuente
anio_final,Año nominal final del periodo,entero,año,entrada y procesada,00_trazabilidad_fuentes/serie_historica_cobertura_forestal_guatemala_1991_2016.csv,No necesariamente coincide con el intervalo efectivo usado por el estudio
anio_inicial,Año nominal inicial del periodo,entero,año,entrada y procesada,00_trazabilidad_fuentes/serie_historica_cobertura_forestal_guatemala_1991_2016.csv,No necesariamente coincide con el intervalo efectivo usado por el estudio
bajan_carbono_y_area_basal,Número de series multitemporales con disminución conjunta de carbono y área basal,entero,series,entrada,00_trazabilidad_fuentes/evidencia_parcelas_permanentes_manglar_guatemala.csv,Componente de la evidencia estructural local
balance_neto_cobertura_ha,Nombre original de la pérdida neta de cobertura,numérico,ha acumuladas 2016-2020,entrada,00_trazabilidad_fuentes/base_forestal_municipios_guatemala_2016_2020.csv,Se renombra como perdida_neta_ha al leer la base y cumple B-R
brecha_ponderacion_inferior_ha,Diferencia entre el límite inferior ponderado y la pérdida neta institucional,numérico,ha,procesada,02_resultados_y_diccionario/resultados_recuperacion_ponderada_municipios_guatemala_2016_2020.csv,saldo_ponderado_inferior_ha menos perdida_neta_ha
brecha_ponderacion_superior_ha,Diferencia entre el límite superior ponderado y la pérdida neta institucional,numérico,ha,procesada,02_resultados_y_diccionario/resultados_recuperacion_ponderada_municipios_guatemala_2016_2020.csv,saldo_ponderado_superior_ha menos perdida_neta_ha
bytes,Tamaño del archivo registrado,entero,bytes,metadatos,05_verificacion/manifiesto_resultados.csv,Calculado sobre el archivo exacto
proporcion_region_id,Identificador estable de la región de referencia de las proporciones,texto,no aplica,entrada y procesada,00_trazabilidad_fuentes/trazabilidad_municipio_region_guatemala_2016_2020.csv; 02_resultados_y_diccionario/catalogo_proporciones_recuperacion_biomasa_20_anios.csv; 02_resultados_y_diccionario/resultados_recuperacion_ponderada_municipios_guatemala_2016_2020.csv,Vincula elegibilidad municipal y catálogo de proporciones
caracter,Naturaleza de la correspondencia usada para la región de referencia,texto,no aplica,entrada y procesada,02_resultados_y_diccionario/catalogo_proporciones_recuperacion_biomasa_20_anios.csv; 02_resultados_y_diccionario/resultados_recuperacion_ponderada_municipios_guatemala_2016_2020.csv,Por ejemplo proxy regional operativo o sobre analítico
cambio_clasificacion,Transición entre la clasificación institucional y la ponderada,texto,categoría,procesada,02_resultados_y_diccionario/cambios_clasificacion_ponderada_municipios_guatemala_2016_2020.csv,Concatena la clase de origen y destino con una flecha
clasificacion_estructural,Clasificación del intervalo estructural local,texto,categoría,procesada,02_resultados_y_diccionario/resultados_manglar_municipios_guatemala_2016_2020.csv; 02_resultados_y_diccionario/comparacion_recuperacion_ponderada_y_manglar_municipios_guatemala_2016_2020.csv,Pérdida si el límite inferior es positivo ganancia si el superior es negativo e indeterminado si contiene cero
clasificacion_institucional,Signo de la pérdida neta institucional,texto,categoría,procesada,02_resultados_y_diccionario/resultados_institucionales_municipios_guatemala_2016_2020.csv; 02_resultados_y_diccionario/resultados_recuperacion_ponderada_municipios_guatemala_2016_2020.csv; 02_resultados_y_diccionario/transiciones_clasificacion_ponderada_municipios_guatemala_2016_2020.csv; 02_resultados_y_diccionario/cambios_clasificacion_ponderada_municipios_guatemala_2016_2020.csv,Pérdida para valores positivos ganancia para negativos y equilibrio dentro de tolerancia
clasificacion_ponderada,Clasificación del intervalo de recuperación ponderada,texto,categoría,procesada,02_resultados_y_diccionario/resultados_recuperacion_ponderada_municipios_guatemala_2016_2020.csv; 02_resultados_y_diccionario/comparacion_recuperacion_ponderada_y_manglar_municipios_guatemala_2016_2020.csv; 02_resultados_y_diccionario/transiciones_clasificacion_ponderada_municipios_guatemala_2016_2020.csv; 02_resultados_y_diccionario/cambios_clasificacion_ponderada_municipios_guatemala_2016_2020.csv,Pérdida ganancia o indeterminado según el intervalo completo
cod_dep,Código de departamento,entero,código administrativo,entrada y procesada,00_trazabilidad_fuentes/base_forestal_municipios_guatemala_2016_2020.csv; 00_trazabilidad_fuentes/trazabilidad_municipio_region_guatemala_2016_2020.csv,Se conserva como entero anulable
codigo,Código municipal,entero anulable,código administrativo,entrada y procesada,00_trazabilidad_fuentes/base_forestal_municipios_guatemala_2016_2020.csv; 00_trazabilidad_fuentes/trazabilidad_municipio_region_guatemala_2016_2020.csv,Es nulo en dos unidades lacustres y único entre municipios
codigo_canonico,Código municipal normalizado a cuatro dígitos,texto anulable,código administrativo,trazabilidad,00_trazabilidad_fuentes/trazabilidad_municipio_region_guatemala_2016_2020.csv,Es la llave usada por las listas explícitas y falta solo en las dos unidades lacustres
codigo_municipio,Código municipal en la evidencia PPM,entero,código administrativo,entrada,00_trazabilidad_fuentes/evidencia_parcelas_permanentes_manglar_guatemala.csv,Se renombra como codigo durante el cruce territorial
control,Nombre del control automático,texto,no aplica,procesada,05_verificacion/controles_calidad_saldo_forestal_guatemala_2016_2020.csv,Describe la condición auditada
criterio_operativo,Explicación territorial de la decisión codificada,texto,no aplica,trazabilidad,00_trazabilidad_fuentes/trazabilidad_municipio_region_guatemala_2016_2020.csv,Documenta el criterio sin afirmar validación ecológica
descripcion,Descripción narrativa del escenario,texto,no aplica,entrada,01_metodologia/parametros/supuestos_escenarios_forestales_guatemala_2026_2035.csv,Debe explicar qué flujos modifica
decision_manual_codificada,Indica si la decisión experta fue fijada en una regla explícita,texto,categoría,trazabilidad,00_trazabilidad_fuentes/trazabilidad_municipio_region_guatemala_2016_2020.csv,Usa si no o no_aplica según el tipo de unidad y decisión
detalle,Resultado explicativo del control,texto,no aplica,procesada,05_verificacion/controles_calidad_saldo_forestal_guatemala_2016_2020.csv,Incluye conteo valor o condición observada
depto,Nombre del departamento,texto,no aplica,entrada y procesada,00_trazabilidad_fuentes/base_forestal_municipios_guatemala_2016_2020.csv; 00_trazabilidad_fuentes/trazabilidad_municipio_region_guatemala_2016_2020.csv,Nombre proveniente de la base territorial
dimension,Dimensión del costo ambiental contextual,texto,no aplica,entrada y procesada,00_trazabilidad_fuentes/costos_contextuales_no_aditivos_guatemala_2026.csv,No se integra a los totales forestales
en_dominio_recuperacion,Indica si la unidad recibe una proporción de recuperación a veinte años,booleano,verdadero o falso,procesada,02_resultados_y_diccionario/completacion_conservadora_unidades_guatemala_2016_2020.csv,Falso implica rho aplicada igual a uno en la completación conservadora
equivalencia_indicativa_2026_gtq_millones,Equivalencia monetaria contextual homologada a 2026,numérico,millones de GTQ,entrada y procesada,00_trazabilidad_fuentes/costos_contextuales_no_aditivos_guatemala_2026.csv,Contexto no aditivo y sin atribución causal a la deforestación
escenario,Nombre de la trayectoria futura,texto,no aplica,entrada y procesada,01_metodologia/parametros/supuestos_escenarios_forestales_guatemala_2026_2035.csv; 02_resultados_y_diccionario/escenarios_forestales_guatemala_2026_2035.csv; 02_resultados_y_diccionario/escenarios_forestales_valorados_guatemala_2026_2035.csv; 02_resultados_y_diccionario/trayectorias_forestales_fisicas_guatemala_2026_2035.csv,Se cruza con los tres resultados forestales
estado,Estado del control automático,texto,categoría,procesada,05_verificacion/controles_calidad_saldo_forestal_guatemala_2016_2020.csv,Valor esperado Cumple
estado_dominio,Decisión de elegibilidad para aplicar rho20,texto,categoría,entrada y trazabilidad,00_trazabilidad_fuentes/trazabilidad_municipio_region_guatemala_2016_2020.csv,Distingue elegible_recuperacion_20_anios fuera_dominio_regla_residual y unidad_no_municipal
estado_evidencia,Estado del soporte de la correspondencia territorial,texto,categoría,trazabilidad,00_trazabilidad_fuentes/trazabilidad_municipio_region_guatemala_2016_2020.csv,Diferencia la correspondencia territorial experta codificada de los atributos directos de la fuente
flujo_anual_inferior_gtq,Valor monetario anual del límite inferior de pérdida,numérico,GTQ por año,procesada,02_resultados_y_diccionario/valoracion_resultados_forestales_guatemala_2016_2020_precios_2026.csv; 02_resultados_y_diccionario/escenarios_forestales_valorados_guatemala_2026_2035.csv,resultado_inferior_anual_ha por valor_unitario_gtq_ha_anio
