cod_dep,depto,codigo,municipio,perdida_bruta_ha,recuperacion_bruta_ha,perdida_neta_ha,tipo_unidad,proporcion_estructural_min,proporcion_estructural_max,saldo_estructural_inferior_ha,saldo_estructural_superior_ha,clasificacion_estructural
5,Escuintla,506,Tiquisate,209.3021312000,226.8086237800,-17.5064925800,Municipio,0.5454545455,0.6181818182,69.0931637724,85.5883364109,Pérdida
5,Escuintla,510,Iztapa,122.5761984000,122.0908356900,0.4853627100,Municipio,0.5454545455,0.6181818182,47.1018636098,55.9811971145,Pérdida
5,Escuintla,513,Nueva Concepción,197.3482140100,133.0454813300,64.3027326800,Municipio,0.5454545455,0.6181818182,115.1019164605,124.7779514664,Pérdida
5,Escuintla,514,Sipacate,747.0403161900,133.5192672300,613.5210489600,Municipio,0.5454545455,0.6181818182,664.5011328115,674.2116249736,Pérdida
6,Santa Rosa,608,Chiquimulilla,612.4753194900,764.3082825200,-151.8329630300,Municipio,0.5454545455,0.6181818182,139.9938357504,195.5798926609,Pérdida
10,Suchitepéquez,1001,Mazatenango,241.2400374000,194.2572303500,46.9828070500,Municipio,0.5454545455,0.6181818182,121.1537495473,135.2815481182,Pérdida
10,Suchitepéquez,1006,Santo Domingo Suchitepéquez,136.4899904100,898.5997205000,-762.1097300900,Municipio,0.5454545455,0.6181818182,-419.0080186264,-353.6553116809,Ganancia
11,Retalhuleu,1101,Retalhuleu,976.9842781300,2092.0490755200,-1115.0647973900,Municipio,0.5454545455,0.6181818182,-316.2824231005,-164.1333994264,Ganancia
11,Retalhuleu,1107,Champerico,403.4097824100,1010.8792308500,-607.4694484400,Municipio,0.5454545455,0.6181818182,-221.4973784791,-147.9788889627,Ganancia
12,San Marcos,1230,La Blanca,105.5209006700,133.5401244200,-28.0192237500,Municipio,0.5454545455,0.6181818182,22.9688237558,32.6808328045,Pérdida
18,Izabal,1801,Puerto Barrios,2009.3675697500,94.0507412000,1915.3168285500,Municipio,0.5454545455,0.6181818182,1951.2271115536,1958.0671654591,Pérdida
18,Izabal,1802,Livingston,7163.5344335300,2063.9356030400,5099.5988304900,Municipio,0.5454545455,0.6181818182,5887.6469698325,6037.7513773264,Pérdida
22,Jutiapa,2215,Pasaco,65.0754267900,83.6759956400,-18.6005688500,Municipio,0.5454545455,0.6181818182,13.3484476671,19.4339746227,Pérdida
