cod_dep,depto,perdida_bruta_ha,recuperacion_bruta_ha,perdida_neta_ha,saldo_ponderado_inferior_ha,saldo_ponderado_superior_ha,municipios
1,Guatemala,221.4017575900,12.4616079100,208.9401496800,213.3017124485,218.2863556125,4
2,El Progreso,1537.4912529000,429.3459956300,1108.1452572700,1258.4163557405,1430.1547539925,8
4,Chimaltenango,200.5621106400,997.2392164500,-796.6771058100,-563.3231291607,-390.8007447148,2
5,Escuintla,5508.3379445400,1990.5129800600,3517.8249644800,3983.6050018140,4327.9637473644,12
6,Santa Rosa,1120.0814890100,1652.9045921800,-532.8231031700,-146.0434285999,139.9090658473,5
9,Quetzaltenango,1710.0041390000,2232.5659335600,-522.5617945600,-0.1413661070,386.0925403989,5
10,Suchitepéquez,2002.0552153500,7421.6872320100,-5419.6320166600,-3682.9572043697,-2399.0053132319,12
11,Retalhuleu,2828.5808500600,5751.4938921100,-2922.9130420500,-1577.0634712963,-582.0550279612,9
12,San Marcos,1207.1769072900,3858.9446205900,-2651.7677133000,-1748.7746720819,-1081.1772527199,12
13,Huehuetenango,5031.6038118000,3233.0573767600,1798.5464350400,3111.1677300046,3111.1677300046,10
14,Quiché,9190.9197218900,9172.5101641500,18.4095577400,3706.2752632275,3964.6568429235,10
15,Baja Verapaz,2948.0739923800,299.7685800600,2648.3054123200,2753.2244153410,2873.1318473650,7
16,Alta Verapaz,23740.6787483100,12788.1532443600,10952.5255039500,16144.5157211602,16144.5157211602,11
17,Petén,140516.8382972800,125444.3334695400,15072.5048277400,60490.9804667084,60717.4978810781,14
18,Izabal,16033.6783276700,5463.6375338500,10570.0407938200,11848.5319767409,12793.7412700970,5
19,Zacapa,2094.8727101100,2185.3384811900,-90.4657710800,674.4026973365,1548.5380898125,11
20,Chiquimula,2044.7114553800,141.5632230800,1903.1482323000,1924.5242789851,1997.1462124251,11
21,Jalapa,1163.2732664700,213.1496774000,950.1235890700,982.3091903574,1091.6549748636,7
22,Jutiapa,1207.3700931700,1162.4349359400,44.9351572300,220.4628325569,816.7919546942,17
