cod_dep,depto,codigo,municipio,perdida_bruta_ha,recuperacion_bruta_ha,perdida_neta_ha,tipo_unidad,grupo_territorial_id,proporcion_grupo_id,grupo_territorial_nombre,sitios_referencia,intervalo_proporcion_regeneracion_equivalente,proporcion_regeneracion_equivalente_min,proporcion_regeneracion_equivalente_central,proporcion_regeneracion_equivalente_max,tratamiento_intervalo,fundamento_vinculacion_sitios,saldo_ponderado_inferior_ha,saldo_ponderado_superior_ha,saldo_ponderado_central_ha,clasificacion_perdida_neta_reportada,clasificacion_ponderada,brecha_ponderacion_inferior_ha,brecha_ponderacion_superior_ha,proporcion_regeneracion_equivalente_critica
1,Guatemala,104,San José del Golfo,0.6000495300,0.0000000000,0.6000495300,Municipio,REG-SEC-MOT,REG-SEC-MOT,"Valles secos interiores, Motagua y Salamá–Chixoy","Sitios secos de Bolivia, Brasil y México",25-65%,0.2500000000,0.4500000000,0.6500000000,Intervalo de sitios secos con redondeo exterior a incrementos de 0.05,Mayor déficit hídrico y recuperación generalmente más lenta.,0.6000495300,0.6000495300,0.6000495300,Pérdida,Pérdida,0.0000000000,0.0000000000,
1,Guatemala,105,Palencia,68.6369139400,5.7113492700,62.9255646700,Municipio,REG-SEC-MOT,REG-SEC-MOT,"Valles secos interiores, Motagua y Salamá–Chixoy","Sitios secos de Bolivia, Brasil y México",25-65%,0.2500000000,0.4500000000,0.6500000000,Intervalo de sitios secos con redondeo exterior a incrementos de 0.05,Mayor déficit hídrico y recuperación generalmente más lenta.,64.9245369145,67.2090766225,66.0668067685,Pérdida,Pérdida,1.9989722445,4.2835119525,12.0176355350
1,Guatemala,107,San Pedro Ayampuc,70.9001975900,1.8687868600,69.0314107300,Municipio,REG-SEC-MOT,REG-SEC-MOT,"Valles secos interiores, Motagua y Salamá–Chixoy","Sitios secos de Bolivia, Brasil y México",25-65%,0.2500000000,0.4500000000,0.6500000000,Intervalo de sitios secos con redondeo exterior a incrementos de 0.05,Mayor déficit hídrico y recuperación generalmente más lenta.,69.6854861310,70.4330008750,70.0592435030,Pérdida,Pérdida,0.6540754010,1.4015901450,37.9391567372
1,Guatemala,112,Chuarrancho,81.2645965300,4.8814717800,76.3831247500,Municipio,REG-SEC-MOT,REG-SEC-MOT,"Valles secos interiores, Motagua y Salamá–Chixoy","Sitios secos de Bolivia, Brasil y México",25-65%,0.2500000000,0.4500000000,0.6500000000,Intervalo de sitios secos con redondeo exterior a incrementos de 0.05,Mayor déficit hídrico y recuperación generalmente más lenta.,78.0916398730,80.0442285850,79.0679342290,Pérdida,Pérdida,1.7085151230,3.6611038350,16.6475604474
2,El Progreso,201,Guastatoya,3.7866480300,0.0864734500,3.7001745800,Municipio,REG-SEC-MOT,REG-SEC-MOT,"Valles secos interiores, Motagua y Salamá–Chixoy","Sitios secos de Bolivia, Brasil y México",25-65%,0.2500000000,0.4500000000,0.6500000000,Intervalo de sitios secos con redondeo exterior a incrementos de 0.05,Mayor déficit hídrico y recuperación generalmente más lenta.,3.7304402875,3.7650296675,3.7477349775,Pérdida,Pérdida,0.0302657075,0.0648550875,43.7897184627
2,El Progreso,202,Morazán,668.3268944900,346.6459601600,321.6809343300,Municipio,REG-SEC-MOT,REG-SEC-MOT,"Valles secos interiores, Motagua y Salamá–Chixoy","Sitios secos de Bolivia, Brasil y México",25-65%,0.2500000000,0.4500000000,0.6500000000,Intervalo de sitios secos con redondeo exterior a incrementos de 0.05,Mayor déficit hídrico y recuperación generalmente más lenta.,443.0070203860,581.6654044500,512.3362124180,Pérdida,Pérdida,121.3260860560,259.9844701200,1.9279812007
2,El Progreso,203,San Agustín Acasaguastlán,662.6431101700,50.0359178700,612.6071923000,Municipio,REG-SEC-MOT,REG-SEC-MOT,"Valles secos interiores, Motagua y Salamá–Chixoy","Sitios secos de Bolivia, Brasil y México",25-65%,0.2500000000,0.4500000000,0.6500000000,Intervalo de sitios secos con redondeo exterior a incrementos de 0.05,Mayor déficit hídrico y recuperación generalmente más lenta.,630.1197635545,650.1341307025,640.1269471285,Pérdida,Pérdida,17.5125712545,37.5269384025,13.2433487458
2,El Progreso,204,San Cristóbal Acasaguastlán,141.0286413500,28.7722318600,112.2564094900,Municipio,REG-SEC-MOT,REG-SEC-MOT,"Valles secos interiores, Motagua y Salamá–Chixoy","Sitios secos de Bolivia, Brasil y México",25-65%,0.2500000000,0.4500000000,0.6500000000,Intervalo de sitios secos con redondeo exterior a incrementos de 0.05,Mayor déficit hídrico y recuperación generalmente más lenta.,122.3266906410,133.8355833850,128.0811370130,Pérdida,Pérdida,10.0702811510,21.5791738950,4.9015537632
2,El Progreso,205,El Jícaro,1.7213349300,0.1728842100,1.5484507200,Municipio,REG-SEC-MOT,REG-SEC-MOT,"Valles secos interiores, Motagua y Salamá–Chixoy","Sitios secos de Bolivia, Brasil y México",25-65%,0.2500000000,0.4500000000,0.6500000000,Intervalo de sitios secos con redondeo exterior a incrementos de 0.05,Mayor déficit hídrico y recuperación generalmente más lenta.,1.6089601935,1.6781138775,1.6435370355,Pérdida,Pérdida,0.0605094735,0.1296631575,9.9565768904
2,El Progreso,206,Sansare,2.3711103300,0.0865115900,2.2845987400,Municipio,REG-SEC-MOT,REG-SEC-MOT,"Valles secos interiores, Motagua y Salamá–Chixoy","Sitios secos de Bolivia, Brasil y México",25-65%,0.2500000000,0.4500000000,0.6500000000,Intervalo de sitios secos con redondeo exterior a incrementos de 0.05,Mayor déficit hídrico y recuperación generalmente más lenta.,2.3148777965,2.3494824325,2.3321801145,Pérdida,Pérdida,0.0302790565,0.0648836925,27.4080077594
