cod_dep,depto,codigo,municipio,perdida_bruta_ha,recuperacion_bruta_ha,perdida_neta_ha,tipo_unidad,perdida_neta_calculada_ha,perdida_bruta_anual_ha,recuperacion_bruta_anual_ha,perdida_neta_anual_ha,clasificacion_perdida_neta_reportada
1,Guatemala,101,Guatemala,84.9902752100,1.4033748700,83.5869003400,Municipio,83.5869003400,21.2475688025,0.3508437175,20.8967250850,Pérdida
1,Guatemala,102,Santa Catarina Pinula,45.5107664900,27.1938369900,18.3169295000,Municipio,18.3169295000,11.3776916225,6.7984592475,4.5792323750,Pérdida
1,Guatemala,103,San José Pinula,278.3816849200,101.7166461400,176.6650387800,Municipio,176.6650387800,69.5954212300,25.4291615350,44.1662596950,Pérdida
1,Guatemala,104,San José del Golfo,0.6000495300,0.0000000000,0.6000495300,Municipio,0.6000495300,0.1500123825,0.0000000000,0.1500123825,Pérdida
1,Guatemala,105,Palencia,68.6369139400,5.7113492700,62.9255646700,Municipio,62.9255646700,17.1592284850,1.4278373175,15.7313911675,Pérdida
1,Guatemala,106,Chinautla,113.6010832600,3.2722679800,110.3288152800,Municipio,110.3288152800,28.4002708150,0.8180669950,27.5822038200,Pérdida
1,Guatemala,107,San Pedro Ayampuc,70.9001975900,1.8687868600,69.0314107300,Municipio,69.0314107300,17.7250493975,0.4671967150,17.2578526825,Pérdida
1,Guatemala,108,Mixco,108.3251418300,0.4327590300,107.8923828000,Municipio,107.8923828000,27.0812854575,0.1081897575,26.9730957000,Pérdida
1,Guatemala,109,San Pedro Sacatepéquez,13.8661153900,0.7786640800,13.0874513100,Municipio,13.0874513100,3.4665288475,0.1946660200,3.2718628275,Pérdida
1,Guatemala,110,San Juan Sacatepéquez,387.8527315500,7.3957712100,380.4569603400,Municipio,380.4569603400,96.9631828875,1.8489428025,95.1142400850,Pérdida
1,Guatemala,111,San Raymundo,247.8418389500,2.3306612100,245.5111777400,Municipio,245.5111777400,61.9604597375,0.5826653025,61.3777944350,Pérdida
1,Guatemala,112,Chuarrancho,81.2645965300,4.8814717800,76.3831247500,Municipio,76.3831247500,20.3161491325,1.2203679450,19.0957811875,Pérdida
1,Guatemala,113,Fraijanes,53.0983592700,8.7431367000,44.3552225700,Municipio,44.3552225700,13.2745898175,2.1857841750,11.0888056425,Pérdida
1,Guatemala,114,Amatitlán,34.5333116700,12.4677552200,22.0655564500,Municipio,22.0655564500,8.6333279175,3.1169388050,5.5163891125,Pérdida
1,Guatemala,115,Villa Nueva,66.2827816400,9.2634879900,57.0192936500,Municipio,57.0192936500,16.5706954100,2.3158719975,14.2548234125,Pérdida
1,Guatemala,116,Villa Canales,51.6898821100,2.4314431500,49.2584389600,Municipio,49.2584389600,12.9224705275,0.6078607875,12.3146097400,Pérdida
1,Guatemala,117,Petapa,26.2248665800,0.3463700300,25.8784965500,Municipio,25.8784965500,6.5562166450,0.0865925075,6.4696241375,Pérdida
2,El Progreso,201,Guastatoya,3.7866480300,0.0864734500,3.7001745800,Municipio,3.7001745800,0.9466620075,0.0216183625,0.9250436450,Pérdida
2,El Progreso,202,Morazán,668.3268944900,346.6459601600,321.6809343300,Municipio,321.6809343300,167.0817236225,86.6614900400,80.4202335825,Pérdida
2,El Progreso,203,San Agustín Acasaguastlán,662.6431101700,50.0359178700,612.6071923000,Municipio,612.6071923000,165.6607775425,12.5089794675,153.1517980750,Pérdida
2,El Progreso,204,San Cristóbal Acasaguastlán,141.0286413500,28.7722318600,112.2564094900,Municipio,112.2564094900,35.2571603375,7.1930579650,28.0641023725,Pérdida
