control,estado,detalle
Unidades en la base,Cumple,342 unidades
Municipios en la base,Cumple,340 municipios
Unidades lacustres documentadas,Cumple,Lago de Amatitlán y lago de Atitlán
Identidad N = B - R,Cumple,Verificación por fila
Pérdida bruta nacional,Cumple,"244,394.56984238 ha"
Recuperación nacional,Cumple,"191,658.14331302 ha"
Grupos con proporción de regeneración equivalente,Cumple,5 grupos territoriales de referencia
Partición de la asignación territorial documentada,Cumple,"172 municipios incluidos, 168 excluidos y 2 unidades no municipales"
Conteos de los cinco grupos territoriales de referencia,Cumple,REG-PET-N=9; REG-PET-FTN=32; REG-TB-HUM=62; REG-ORI-EST=35; REG-SEC-MOT=34
Municipios con proporción de regeneración equivalente,Cumple,172 municipios
Intervalo de recuperación ponderada ordenado,Cumple,Límite inferior ≤ límite superior
Completación nacional,Cumple,342 unidades conservadas
Saldo ponderado nacional inferior,Cumple,"116,473.23156616 ha"
Saldo ponderado nacional superior,Cumple,"123,988.02784436 ha"
Series estructurales de manglar,Cumple,55 series
Municipios de la aplicación local,Cumple,13 municipios
Soporte común de recuperación ponderada y manglar,Cumple,Los trece municipios locales pertenecen al dominio de aplicación
No aditividad de los métodos,Cumple,La aplicación local está contenida en el dominio de recuperación y solo se compara
Reproducción de porcentajes desde Dryad,Cumple,13 porcentajes reproducidos a una decimal
