site_id,site_name,observaciones_bosque_secundario,observaciones_bosque_maduro,agb20_reproducida_mg_ha,agb_bosque_maduro_mediana_mg_ha,porcentaje_publicado,porcentaje_reproducido,porcentaje_reproducido_redondeado,diferencia_puntos_porcentuales,cumple_redondeo_una_decimal
salvatierra,Salvatierra,28,8,38.2714517014,129.8228604500,29.5000000000,29.4797476875,29.5000000000,0.0000000000,True
san_lorenzo,San Lorenzo,11,10,82.8310583994,128.3630379500,64.5000000000,64.5287457528,64.5000000000,0.0000000000,True
sao_paulo,Sao Paulo,10,1,123.2115483190,345.4826028000,35.7000000000,35.6636042800,35.7000000000,0.0000000000,True
chamela,Chamela,9,3,34.7954271985,69.6652885100,49.9000000000,49.9465773310,49.9000000000,0.0000000000,True
nizanda,Nizanda,14,14,34.7107341931,136.5758201500,25.4000000000,25.4149923134,25.4000000000,0.0000000000,True
yucatan,Yucatán,274,16,69.3135377401,103.8755684000,66.7000000000,66.7274690360,66.7000000000,0.0000000000,True
chajul,Chajul,16,3,105.2843658055,177.1288847000,59.4000000000,59.4394110163,59.4000000000,0.0000000000,True
barro_colorado_island,Barro Colorado Island,8,2,120.4988177492,203.0987133000,59.3000000000,59.3301728954,59.3000000000,0.0000000000,True
sarapiqui_chazdon,Sarapiquí (Chazdon),6,2,171.5085455102,287.6397606000,59.6000000000,59.6261605671,59.6000000000,0.0000000000,True
sarapiqui_letcher,Sarapiquí (Letcher),23,7,145.3620558622,189.8123008000,76.6000000000,76.5819998228,76.6000000000,0.0000000000,True
el_ocote_1,El Ocote 1,29,10,101.4163340834,302.2252195000,33.6000000000,33.5565424524,33.6000000000,0.0000000000,True
el_ocote_2,El Ocote 2,63,11,116.3990723821,186.8628287000,62.3000000000,62.2911861026,62.3000000000,0.0000000000,True
santa_rosa,Santa Rosa,39,2,170.9103838530,201.3134720500,84.9000000000,84.8976385498,84.9000000000,0.0000000000,True
