fuente_id,titulo,autoria_institucion,anio,tipo_fuente,url,doi,fecha_acceso,archivos_relacionados,uso_analitico,limitacion_principal,licencia_condiciones
INAB_DINAMICA_2016_2020,Estudio de la cobertura forestal para el año 2020 y dinámica de la cobertura forestal en el período 2016-2020: República de Guatemala,Instituto Nacional de Bosques; Consejo Nacional de Áreas Protegidas,2023,Informe técnico y StoryMap,https://sig.inab.gob.gt/portal/apps/storymaps/stories/eac535d7b61a47f7b12a9b81eb9c15b6,,2026-08-26,base_forestal_2016_2020.csv; resultados_institucionales_*.csv,"Pérdida bruta, ganancia de cobertura y pérdida neta por unidad territorial","La ganancia de cobertura no informa edad, biomasa, origen, permanencia ni equivalencia ecológica","Condiciones de reutilización no registradas en el expediente; verificar el portal y atribuir INAB-CONAP antes de publicar"
INAB_TABLA_MUNICIPAL_2016_2020,Tabla municipal de dinámica de cobertura forestal 2016-2020,INAB,2023,Capa ArcGIS,https://sig.inab.gob.gt/portal/home/item.html?id=a15d600e7aed41d8b2afdcdcefad32db&sublayer=5,,2026-08-26,base_forestal_2016_2020.csv,Soporte tabular territorial del cálculo principal,"La capa forma parte de la publicación institucional de la dinámica 2016-2020 difundida en 2023; debe verificarse mediante una nueva descarga antes de actualizar la base analítica","Condiciones de la capa ArcGIS pendientes de documentar; la licencia del repositorio no amplía derechos sobre el insumo"
SANDOVAL_GALVEZ_PINILLOS_2022_BOSQUES,Bosques,Sandoval C.; Gálvez J.; Pinillos D.,2022,Libro institucional,https://infoiarna.url.edu.gt/publicacion/bosques/,,2026-08-26,serie_historica_bosques_2022.csv,Antecedente histórico de deforestación bruta y pérdida neta 1991-2016,"Los periodos tienen intervalos efectivos distintos y no forman un panel perfectamente encadenado","Publicación disponible para consulta; licencia específica de reutilización pendiente de registrar"
DINAMICA_2010_2016_FOLLETO,Dinámica de cobertura forestal de Guatemala 2010-2016,INAB; CONAP; URL y entidades colaboradoras,s. f.,Folleto institucional,https://infoiarna.url.edu.gt/publicacion/dinamica-de-cobertura-forestal-de-guatemala-2010-2016-folleto/,,2026-08-26,serie_historica_bosques_2022.csv,Contraste de pérdida bruta recuperación y pérdida neta,"Cada ejercicio de cobertura estima de forma independiente sus fechas inicial y final","Licencia específica de reutilización pendiente de registrar; mantener la atribución institucional completa"
POORTER_ET_AL_2016,Biomass resilience of Neotropical secondary forests,Poorter L. et al.,2016,Artículo científico,https://doi.org/10.1038/nature16512,10.1038/nature16512,2026-08-26,catalogo_proporciones_recuperacion.csv; dominio_aplicacion_recuperacion.csv; resultados_recuperacion_*.csv,Proporciones de recuperación de biomasa aérea a veinte años,"No mide la edad ni condición actual de la ganancia de cobertura guatemalteca; la asignación municipal por regiones de referencia es una construcción analítica","Derechos editoriales del artículo permanecen con sus titulares; el repositorio cita y no redistribuye el texto"
POORTER_DRYAD_2017,Data from: Biomass resilience of Neotropical secondary forests,Poorter L. et al.,2017,Conjunto de datos,https://doi.org/10.5061/dryad.82vr4,10.5061/dryad.82vr4,2026-08-26,catalogo_proporciones_recuperacion.csv,Verificación de valores y sitios de referencia,"Los sitios no cubren todos los ecosistemas de Guatemala y no se extrapolan fuera del dominio documentado",CC0 según el depósito Dryad; mantener la cita y el DOI
INAB_MANGLE_PORTAL_2023,Áreas potenciales de restauración de manglares,INAB,2023,Portal de información de campo,https://sig.inab.gob.gt/portal/apps/storymaps/stories/955793375059405ab4964bb40813b9fd,,2026-08-26,evidencia_ppm_estructural.csv; resultados_mangle_locales.csv; comparacion_local_recuperacion_mangle.csv,Aproximación estructural local en trece municipios,"El archivo suma 75 registros aunque el portal menciona 76; solo 55 series multitemporales sustentan 30/55-34/55; B y R son forestales municipales totales","Condiciones de reutilización pendientes de documentar; atribuir el portal al INAB y no extenderle la CC BY 4.0 del repositorio"
INAB_ICC_CONAP_PPMF_2016,Metodología para el establecimiento y mantenimiento de parcelas permanentes de medición forestal en bosque natural del ecosistema manglar,Instituto Nacional de Bosques; Instituto Privado de Investigación sobre Cambio Climático; Consejo Nacional de Áreas Protegidas,2016,Documento metodológico,https://icc.org.gt/wp-content/uploads/2023/03/094.pdf,,2026-08-26,evidencia_ppm_estructural.csv,Fundamento metodológico de las series estructurales de manglar,"La metodología sustenta el diseño de las parcelas; no convierte los flujos forestales municipales en cambios exclusivos de manglar","El documento autoriza reproducción educativa o sin fines de lucro con atribución de la fuente"
BANCO_MUNDIAL_CUENTA_ECOSISTEMAS,Cuenta de ecosistemas de Guatemala (segunda edición),Banco Mundial; Gobierno de Guatemala; WAVES; IARNA-URL,2021,Cuenta de ecosistemas y compilación,https://documents.worldbank.org/en/publication/documents-reports/documentdetail/451591561110110128,,2026-08-26,parametros_valoracion.csv; valoracion_resultados_forestales_nacionales.csv,Base documental para transferencia indicativa de valores de servicios ecosistémicos,"Los 21 estudios cubren aproximadamente 9403 km2 y combinan servicios y métodos; no es una valoración nacional exhaustiva","Consultar los términos del documento en el registro del Banco Mundial; el repositorio no redistribuye la publicación"
BANGUAT_PIB_2013_2026,Producto interno bruto; año de referencia 2013; años 2013-2026; millones de quetzales y variación porcentual,Banco de Guatemala,s. f.,Cuadro estadístico,https://banguat.gob.gt/sites/default/files/banguat/cuentasnac/PIB2013/resumidos/1.1_PIB_Tasa_de_Variacion_AR2013.pdf,,2026-08-26,parametros_valoracion.csv,Derivación del factor de homologación 2019-2026,"El factor 1.32960218275 se calcula como [(1008060.4/657811.4)/(593972.0/515350.3)]; el numerador usa las cifras proyectadas de 2026 y el denominador las de 2019","Atribuir al Banco de Guatemala, indicar recuperación el 26 de agosto de 2026 y conservar las marcas de cifras preliminares o proyectadas"
