control,estado,detalle
Unidades en la base,Cumple,342 unidades
Municipios en la base,Cumple,340 municipios
Unidades lacustres documentadas,Cumple,Lago de Amatitlán y lago de Atitlán
Identidad N = B - R,Cumple,Verificación por fila
Pérdida bruta nacional,Cumple,"244,394.56984238 ha"
Recuperación nacional,Cumple,"191,658.14331302 ha"
Regiones de referencia de rho20,Cumple,5 regiones
Municipios con proporción a veinte años,Cumple,172 municipios
Intervalo de recuperación ponderada ordenado,Cumple,Límite inferior ≤ límite superior
Completación nacional,Cumple,342 unidades conservadas
Saldo ponderado nacional inferior,Cumple,"116,473.23156616 ha"
Saldo ponderado nacional superior,Cumple,"123,988.02784436 ha"
Series estructurales PPM,Cumple,55 series
Municipios de la aplicación local,Cumple,13 municipios
Soporte común de recuperación ponderada y manglar,Cumple,Los trece municipios locales pertenecen al dominio de aplicación
No aditividad de los métodos,Cumple,La aplicación local está contenida en el dominio de recuperación y solo se compara
