cod_dep,depto,unidades,perdida_bruta_ha,recuperacion_bruta_ha,perdida_neta_ha,perdida_bruta_anual_ha,recuperacion_bruta_anual_ha,perdida_neta_anual_ha
1,Guatemala,18,1744.7480299200,191.9641593300,1552.7838705900,436.1870074800,47.9910398325,388.1959676475
2,El Progreso,8,1537.4912529000,429.3459956300,1108.1452572700,384.3728132250,107.3364989075,277.0363143175
3,Sacatepéquez,16,496.6124091000,88.0406207700,408.5717883300,124.1531022750,22.0101551925,102.1429470825
4,Chimaltenango,16,4463.5055373200,1418.5483658100,3044.9571715100,1115.8763843300,354.6370914525,761.2392928775
5,Escuintla,14,5682.7368961400,1991.8128468600,3690.9240492800,1420.6842240350,497.9532117150,922.7310123200
6,Santa Rosa,14,1903.5447061100,1890.1975933000,13.3471128100,475.8861765275,472.5493983250,3.3367782025
7,Sololá,20,475.8434655600,354.4282720700,121.4151934900,118.9608663900,88.6070680175,30.3537983725
8,Totonicapán,8,457.7793534600,6.9948170100,450.7845364500,114.4448383650,1.7487042525,112.6961341125
9,Quetzaltenango,24,1883.9721076100,2467.0951951700,-583.1230875600,470.9930269025,616.7737987925,-145.7807718900
10,Suchitepéquez,21,2459.8503411100,10076.2992627500,-7616.4489216400,614.9625852775,2519.0748156875,-1904.1122304100
11,Retalhuleu,9,2828.5808500600,5751.4938921100,-2922.9130420500,707.1452125150,1437.8734730275,-730.7282605125
12,San Marcos,30,1530.6628097400,4155.6798244800,-2625.0170147400,382.6657024350,1038.9199561200,-656.2542536850
13,Huehuetenango,33,7000.6815341000,3822.3021105400,3178.3794235600,1750.1703835250,955.5755276350,794.5948558900
14,Quiché,21,12843.2591416500,9622.4229626800,3220.8361789700,3210.8147854125,2405.6057406700,805.2090447425
15,Baja Verapaz,8,3815.9308716400,330.3783829900,3485.5524886500,953.9827179100,82.5945957475,871.3881221625
16,Alta Verapaz,17,32208.6263858800,14450.6816905200,17757.9446953600,8052.1565964700,3612.6704226300,4439.4861738400
17,Petén,14,140516.8382972800,125444.3334695400,15072.5048277400,35129.2095743200,31361.0833673850,3768.1262069350
18,Izabal,5,16033.6783276700,5463.6375338500,10570.0407938200,4008.4195819175,1365.9093834625,2642.5101984550
19,Zacapa,11,2094.8727101100,2185.3384811900,-90.4657710800,523.7181775275,546.3346202975,-22.6164427700
20,Chiquimula,11,2044.7114553800,141.5632230800,1903.1482323000,511.1778638450,35.3908057700,475.7870580750
21,Jalapa,7,1163.2732664700,213.1496774000,950.1235890700,290.8183166175,53.2874193500,237.5308972675
22,Jutiapa,17,1207.3700931700,1162.4349359400,44.9351572300,301.8425232925,290.6087339850,11.2337893075
