cod_dep,depto,codigo,municipio,perdida_bruta_ha,ganancia_bruta_ha,balance_neto_cobertura_ha,tipo_unidad
1,Guatemala,,Lago de Amatitlán,11.14743346,1.72637682,9.42105664,Unidad lacustre no municipal
1,Guatemala,101,Guatemala,84.99027521,1.40337487,83.58690034,Municipio
1,Guatemala,102,Santa Catarina Pinula,45.51076649,27.19383699,18.3169295,Municipio
1,Guatemala,103,San José Pinula,278.38168492,101.71664614,176.66503878,Municipio
1,Guatemala,104,San José del Golfo,0.60004953,0.0,0.60004953,Municipio
1,Guatemala,105,Palencia,68.63691394,5.71134927,62.92556467,Municipio
1,Guatemala,106,Chinautla,113.60108326,3.27226798,110.32881528,Municipio
1,Guatemala,107,San Pedro Ayampuc,70.90019759,1.86878686,69.03141073,Municipio
1,Guatemala,108,Mixco,108.32514183,0.43275903,107.8923828,Municipio
1,Guatemala,109,San Pedro Sacatepéquez,13.86611539,0.77866408,13.08745131,Municipio
1,Guatemala,110,San Juan Sacatepéquez,387.85273155,7.39577121,380.45696034,Municipio
1,Guatemala,111,San Raymundo,247.84183895,2.33066121,245.51117774,Municipio
1,Guatemala,112,Chuarrancho,81.26459653,4.88147178,76.38312475000001,Municipio
1,Guatemala,113,Fraijanes,53.09835927,8.7431367,44.35522257,Municipio
1,Guatemala,114,Amatitlán,34.53331167,12.46775522,22.065556450000003,Municipio
1,Guatemala,115,Villa Nueva,66.28278164,9.26348799,57.01929365,Municipio
1,Guatemala,116,Villa Canales,51.68988211,2.43144315,49.25843896,Municipio
1,Guatemala,117,Petapa,26.22486658,0.34637003,25.87849655,Municipio
2,El Progreso,201,Guastatoya,3.78664803,0.08647345,3.70017458,Municipio
2,El Progreso,202,Morazán,668.32689449,346.64596016,321.68093433,Municipio
2,El Progreso,203,San Agustín Acasaguastlán,662.64311017,50.035917870000006,612.6071923,Municipio
2,El Progreso,204,San Cristóbal Acasaguastlán,141.02864135,28.77223186,112.25640948999998,Municipio
2,El Progreso,205,El Jícaro,1.7213349299999998,0.1728842099999999,1.54845072,Municipio
2,El Progreso,206,Sansare,2.37111033,0.08651159,2.28459874,Municipio
2,El Progreso,207,Sanarate,52.50977193,1.80232438,50.70744755,Municipio
2,El Progreso,208,San Antonio La Paz,5.10374167,1.74369211,3.36004956,Municipio
3,Sacatepéquez,301,Antigua Guatemala,10.23596713,48.73710099,-38.50113386,Municipio
3,Sacatepéquez,302,Jocotenango,14.8829159,0.0,14.8829159,Municipio
3,Sacatepéquez,303,Pastores,92.49919788,1.38489329,91.11430459,Municipio
3,Sacatepéquez,304,Sumpango,75.77669046,0.17301702,75.60367344,Municipio
3,Sacatepéquez,305,Santo Domingo Xenacoj,58.44974359,0.17304842,58.27669517,Municipio
3,Sacatepéquez,306,Santiago Sacatepéquez,78.20675436,0.0,78.20675436,Municipio
3,Sacatepéquez,307,San Bartolomé Milpas Altas,0.92585474,0.08654605,0.83930869,Municipio
3,Sacatepéquez,308,San Lucas Sacatepéquez,31.22526506,0.0,31.22526506,Municipio
3,Sacatepéquez,309,Santa Lucía Milpas Altas,3.6619086,0.0,3.6619086,Municipio
3,Sacatepéquez,310,Magdalena Milpas Altas,9.78280632,5.45717041,4.325635910000001,Municipio
3,Sacatepéquez,311,Santa María de Jesús,28.28304511,30.47400455,-2.1909594400000003,Municipio
3,Sacatepéquez,312,Ciudad Vieja,12.82730294,0.0,12.82730294,Municipio
3,Sacatepéquez,313,San Miguel Dueñas,16.44850263,0.17317867,16.27532396,Municipio
3,Sacatepéquez,314,Alotenango,61.133852260000005,1.20853107,59.925321190000005,Municipio
3,Sacatepéquez,315,San Antonio Aguas Calientes,0.0,0.0,0.0,Municipio
3,Sacatepéquez,316,Santa Catarina Barahona,2.27260212,0.1731303,2.09947182,Municipio
4,Chimaltenango,401,Chimaltenango,70.32388177,1.22995083,69.09393094,Municipio
4,Chimaltenango,402,San José Poaquil,95.99907038,2.02629667,93.97277371,Municipio
4,Chimaltenango,403,San Martín Jilotepeque,2376.44543455,13.46441139,2362.98102316,Municipio
4,Chimaltenango,404,Comalapa,102.13660621,1.38388212,100.75272409,Municipio
4,Chimaltenango,405,Santa Apolonia,139.09206197,0.08646875,139.00559322,Municipio
4,Chimaltenango,406,Tecpán Guatemala,387.39758051,3.71821831,383.6793622,Municipio
4,Chimaltenango,407,Patzún,646.7943010700001,0.95193036,645.8423707100001,Municipio
4,Chimaltenango,408,Pochuta,54.8250238,142.88515213,-88.06012833,Municipio
4,Chimaltenango,409,Patzicía,59.03379531,57.65618533,1.3776099800000026,Municipio
4,Chimaltenango,410,Santa Cruz Balanyá,7.29671203,0.0,7.29671203,Municipio
4,Chimaltenango,411,Acatenango,37.71310137,123.61212035,-85.89901898,Municipio
4,Chimaltenango,412,Yepocapa,145.73708684000002,854.35406432,-708.6169774800001,Municipio
4,Chimaltenango,413,San Andrés Itzapa,195.42336951,217.17968525,-21.75631574000002,Municipio
4,Chimaltenango,414,Parramos,25.08061632,0.0,25.08061632,Municipio
4,Chimaltenango,415,Zaragoza,69.60132266,0.0,69.60132266,Municipio
4,Chimaltenango,416,El Tejar,50.60557302,0.0,50.60557302,Municipio
5,Escuintla,501,Escuintla,2408.17416194,7.30186025,2400.87230169,Municipio
5,Escuintla,502,Santa Lucia Cotzulmalguapa,580.96211081,307.50812281,273.45398800000004,Municipio
5,Escuintla,503,La Democracia,75.85415476,13.77267504,62.08147972,Municipio
5,Escuintla,504,Siquinalá,629.55011427,146.2670912,483.28302307,Municipio
5,Escuintla,505,Masagua,108.77567678,276.18440123,-167.40872445,Municipio
5,Escuintla,506,Tiquisate,209.3021312,226.80862378,-17.506492580000014,Municipio
5,Escuintla,507,La Gomera,55.19586352,79.98250302,-24.786639499999996,Municipio
5,Escuintla,508,Guanagazapa,117.42616558,122.91750685,-5.491341269999992,Municipio
5,Escuintla,509,San José,256.13283708,421.11461163,-164.98177454999995,Municipio
5,Escuintla,510,Iztapa,122.5761984,122.09083569,0.4853627099999897,Municipio
5,Escuintla,511,Palín,44.99211565,0.0,44.99211565,Municipio
5,Escuintla,512,San Vicente Pacaya,129.40683595,1.2998668,128.10696915,Municipio
5,Escuintla,513,Nueva Concepción,197.34821401,133.04548133,64.30273267999999,Municipio
5,Escuintla,514,Sipacate,747.04031619,133.51926723,613.52104896,Municipio
6,Santa Rosa,601,Cuilapa,37.32352354,21.63636081,15.687162729999995,Municipio
6,Santa Rosa,602,Barberena,225.61560781,38.03857244,187.57703537,Municipio
6,Santa Rosa,603,Santa Rosa de Lima,38.94574239,2.25163924,36.69410315,Municipio
6,Santa Rosa,604,Casillas,94.26318623,22.69570845,71.56747778,Municipio
6,Santa Rosa,605,San Rafael Las Flores,2.51547776,2.33831578,0.1771619800000001,Municipio
6,Santa Rosa,606,Oratorio,255.90015292,145.19050723,110.70964569,Municipio
6,Santa Rosa,607,San Juan Tecuaco,53.00783656,0.34702802,52.66080854,Municipio
6,Santa Rosa,608,Chiquimulilla,612.47531949,764.3082825199999,-151.83296302999997,Municipio
6,Santa Rosa,609,Taxisco,336.38168208,740.24295621,-403.86127413,Municipio
6,Santa Rosa,610,Santa María Ixhuatán,69.00223044,28.61972552,40.38250492,Municipio
6,Santa Rosa,611,Guazacapán,49.214420440000005,119.38659991,-70.17217947,Municipio
