codigo_municipio,registros_parcela,series_adultas,series_multitemporales,suben_carbono_y_area_basal,bajan_carbono_y_area_basal,trayectoria_mixta,depto,municipio
506,1,1,1,0,1,0,Escuintla,Tiquisate
510,1,1,1,1,0,0,Escuintla,Iztapa
513,5,5,0,0,0,0,Escuintla,Nueva Concepción
514,8,8,8,3,2,3,Escuintla,Sipacate
608,15,15,1,0,1,0,Santa Rosa,Chiquimulilla
1001,3,3,3,0,3,0,Suchitepéquez,Mazatenango
1006,1,1,1,0,1,0,Suchitepéquez,Santo Domingo Suchitepéquez
1101,13,13,13,5,8,0,Retalhuleu,Retalhuleu
1107,1,1,1,1,0,0,Retalhuleu,Champerico
1230,16,16,16,12,3,1,San Marcos,La Blanca
1801,1,1,1,1,0,0,Izabal,Puerto Barrios
1802,3,3,3,1,2,0,Izabal,Livingston
2215,7,7,6,6,0,0,Jutiapa,Pasaco
