anio,escenario,regla,acumulado_inferior_ha,acumulado_superior_ha
2026,Contención proporcional,Deforestación bruta,15274.6606151488,15274.6606151488
2027,Contención proporcional,Deforestación bruta,30549.3212302975,30549.3212302975
2028,Contención proporcional,Deforestación bruta,45823.9818454463,45823.9818454463
2029,Contención proporcional,Deforestación bruta,61098.6424605950,61098.6424605950
2030,Contención proporcional,Deforestación bruta,76373.3030757438,76373.3030757438
2031,Contención proporcional,Deforestación bruta,91647.9636908925,91647.9636908925
2032,Contención proporcional,Deforestación bruta,106922.6243060413,106922.6243060413
2033,Contención proporcional,Deforestación bruta,122197.2849211900,122197.2849211900
2034,Contención proporcional,Deforestación bruta,137471.9455363388,137471.9455363388
2035,Contención proporcional,Deforestación bruta,152746.6061514875,152746.6061514875
2026,Contención proporcional,Saldo ponderado por recuperación,7279.5769728847,7749.2517402726
2027,Contención proporcional,Saldo ponderado por recuperación,14559.1539457695,15498.5034805452
2028,Contención proporcional,Saldo ponderado por recuperación,21838.7309186542,23247.7552208178
2029,Contención proporcional,Saldo ponderado por recuperación,29118.3078915390,30997.0069610903
2030,Contención proporcional,Saldo ponderado por recuperación,36397.8848644237,38746.2587013629
2031,Contención proporcional,Saldo ponderado por recuperación,43677.4618373085,46495.5104416355
2032,Contención proporcional,Saldo ponderado por recuperación,50957.0388101932,54244.7621819081
2033,Contención proporcional,Saldo ponderado por recuperación,58236.6157830780,61994.0139221807
2034,Contención proporcional,Saldo ponderado por recuperación,65516.1927559627,69743.2656624533
2035,Contención proporcional,Saldo ponderado por recuperación,72795.7697288475,77492.5174027258
2026,Contención proporcional,Pérdida neta institucional,3296.0266580850,3296.0266580850
2027,Contención proporcional,Pérdida neta institucional,6592.0533161700,6592.0533161700
2028,Contención proporcional,Pérdida neta institucional,9888.0799742550,9888.0799742550
2029,Contención proporcional,Pérdida neta institucional,13184.1066323400,13184.1066323400
2030,Contención proporcional,Pérdida neta institucional,16480.1332904250,16480.1332904250
2031,Contención proporcional,Pérdida neta institucional,19776.1599485100,19776.1599485100
2032,Contención proporcional,Pérdida neta institucional,23072.1866065950,23072.1866065950
2033,Contención proporcional,Pérdida neta institucional,26368.2132646800,26368.2132646800
2034,Contención proporcional,Pérdida neta institucional,29664.2399227650,29664.2399227650
2035,Contención proporcional,Pérdida neta institucional,32960.2665808500,32960.2665808500
2026,Continuidad,Deforestación bruta,61098.6424605950,61098.6424605950
2027,Continuidad,Deforestación bruta,122197.2849211900,122197.2849211900
2028,Continuidad,Deforestación bruta,183295.9273817850,183295.9273817850
2029,Continuidad,Deforestación bruta,244394.5698423800,244394.5698423800
2030,Continuidad,Deforestación bruta,305493.2123029750,305493.2123029750
2031,Continuidad,Deforestación bruta,366591.8547635700,366591.8547635700
2032,Continuidad,Deforestación bruta,427690.4972241650,427690.4972241650
2033,Continuidad,Deforestación bruta,488789.1396847600,488789.1396847600
2034,Continuidad,Deforestación bruta,549887.7821453550,549887.7821453550
2035,Continuidad,Deforestación bruta,610986.4246059500,610986.4246059500
2026,Continuidad,Saldo ponderado por recuperación,29118.3078915390,30997.0069610903
2027,Continuidad,Saldo ponderado por recuperación,58236.6157830780,61994.0139221807
2028,Continuidad,Saldo ponderado por recuperación,87354.9236746170,92991.0208832710
2029,Continuidad,Saldo ponderado por recuperación,116473.2315661560,123988.0278443613
2030,Continuidad,Saldo ponderado por recuperación,145591.5394576950,154985.0348054517
2031,Continuidad,Saldo ponderado por recuperación,174709.8473492340,185982.0417665420
2032,Continuidad,Saldo ponderado por recuperación,203828.1552407730,216979.0487276324
2033,Continuidad,Saldo ponderado por recuperación,232946.4631323120,247976.0556887227
2034,Continuidad,Saldo ponderado por recuperación,262064.7710238510,278973.0626498130
2035,Continuidad,Saldo ponderado por recuperación,291183.0789153900,309970.0696109034
